sdid_estimate,standard_error
0.2584136,0.0007696
0.2584016,0.0008563
0.2591973,0.0013788
0.255617,0.0009554
0.2597902,0.0014993
0.2623928,0.0002638
0.2597233,0.0026256
0.2632896,0.0004047
0.2590662,0.0007947
0.2577079,0.0009195
0.258479,0.0008697
0.2585932,0.000334
0.2597677,0.0003865
0.2539467,0.000663
0.2614176,0.0025326
0.2591833,0.0003295
0.2579368,0.0001746
0.2561346,0.0005774
0.2583903,0.0018211
0.2570954,0.0006013
0.2618983,0.0000871
0.2580037,0.0019197
0.2561276,0.0010965
0.2545645,0.0014825
0.2548547,0.0000614
0.2548438,0.0002494
0.2582511,0.0000403
0.2589207,0.0012779
0.2609611,0.0006377
0.2554322,0.000311
0.2580704,0.0007445
0.2519564,0.0002716
0.2607451,0.0004721
0.2562943,0.001356
0.2560795,0.0013657
0.258568,0.0004749
0.2595819,0.0010478
0.2560424,0.0001436
0.2619403,0.0001672
0.2545227,0.0000517
0.2599932,0.0008142
0.2601426,0.0014775
0.2568306,0.0003666
0.2553078,0.0018666
0.2575804,0.0000497
0.2583083,0.000731
0.2630108,0.0015449
0.2601399,0.0016852
0.2583487,0.0004931
0.2599776,0.0003841
0.2579321,0.0015224
0.2572338,0.0020458
0.2621901,0.0010964
0.254821,0.0019842
0.2600558,0.0013368
0.260478,0.0022037
0.2577216,0.0004073
0.2567079,0.0001141
0.258188,0.0001498
0.2577455,0.0008119
0.2593874,0.0007385
0.2593458,0.0002515
0.2590253,0.0008807
0.2561557,0.000386
0.2559179,0.0005439
0.2601959,0.0011866
0.2570116,0.0011008
0.2643754,0.0001921
0.2597918,0.0018041
0.2572318,0.0008368
0.2575826,0.0015668
0.2604217,0.000513
0.2616647,0.0009883
0.2603704,0.0014218
0.2568899,0.0011119
0.2574356,0.00201
0.2583151,0.0036405
0.2610272,0.0011634
0.2555512,0.0015696
0.2572761,0.0024353
0.2537173,0.001276
0.2563403,0.0016681
0.2585528,0.0019196
0.2534665,0.002399
0.2616004,0.0002168
0.2581746,0.0011905
0.2583429,7.37E-06
0.256927,0.0000809
0.2568093,0.0029718
0.261826,0.002224
0.2602311,0.0005571
0.2559263,0.0017354
0.2560853,0.0001908
0.26066,0.0024392
0.2570378,0.0005215
0.256859,0.0002919
0.2558478,0.0009263
0.2586434,0.0008449
0.2569894,0.0004068
0.2612457,5.18E-06
0.252176,0.0003901
0.2563738,0.0001862
0.258996,0.0010923
0.2628891,0.0007078
0.2573905,0.0003998
0.2615331,0.0009053
0.2560094,0.0009996
0.2583862,0.0007048
0.2592358,0.0016632
0.257542,0.0001884
0.2591303,0.001284
0.2594244,0.000947
0.257921,0.0006204
0.2576766,0.0023418
0.2584346,0.0018591
0.2627599,0.0005895
0.2597868,0.000254
0.2602261,0.0007244
0.2587678,0.0003048
0.255767,0.0040091
0.259416,0.0008846
0.2629994,0.0017582
0.2638558,0.0010738
0.2604833,0.0005797
0.2554882,0.0008858
0.2604332,0.0002933
0.2585099,0.0004931
0.2601209,0.0004518
0.2593229,0.0006043
0.2577578,0.0001671
0.2596802,0.0014697
0.2653426,0.0011866
0.2537826,0.0002264
0.2533048,0.0017799
0.2604741,0.0005962
0.2570286,0.0009885
0.2593873,0.0013068
0.2613661,0.0006147
0.2615654,0.0012002
0.2582525,0.0009744
0.254832,0.0032607
0.2609987,0.0013421
0.2596028,0.0011566
0.2612036,0.0021045
0.2606653,0.0001753
0.2593958,0.0016983
0.2594262,0.0008461
0.2593593,0.0012535
0.2558493,0.0009513
0.2566092,0.0016611
0.2606962,0.0003549
0.2630406,0.0000676
0.257016,0.0007211
0.261481,0.0004353
0.2575819,0.0003317
0.2657142,0.0023201
0.2623386,0.001722
0.2545037,0.0012691
0.259426,0.001768
0.255813,0.0000392
0.2566904,0.0007519
0.2545057,0.0002133
0.263752,0.000046
0.260078,0.0007507
0.2631374,0.0001148
0.2563102,0.0011896
0.2591438,0.0003373
0.2551766,0.0016101
0.2588885,0.0004416
0.2633089,0.0013668
0.2570577,0.0001905
0.2616531,0.0000127
0.2569257,0.00037
0.2566487,0.0001878
0.2588972,0.0009052
0.257008,0.0011124
0.256248,0.0017925
0.2548318,0.0013818
0.2555057,0.0020736
0.2577039,0.0010931
0.2562507,0.0035291
0.2580646,0.002733
0.2601706,0.0002958
0.2623417,0.003772
0.263988,0.0002032
0.2601377,0.0005371
0.2559183,0.0033713
0.2551005,0.0006527
0.2621841,0.0000906
0.2572093,0.0008664
0.2544278,0.0007516
0.257554,0.0021811
0.2601262,0.0001251
0.2601897,0.0022082
0.2584423,0.0006566
0.2530884,0.0007869
0.2563522,0.0023858
0.2567127,0.0000326
0.2607459,0.0003871
0.2603819,0.0015106
0.2557767,0.0014782
0.2560729,0.0012348
0.2578574,0.0009579
0.2553921,0.0018106
0.2579714,0.0004551
0.2689468,0.0005138
0.2630722,0.0015235
0.2554421,0.0006873
0.2608854,0.0031746
0.2535871,0.0006391
0.2570618,0.0025943
0.2619201,0.0017277
0.2554302,0.0000141
0.2595155,0.0005281
0.2581258,0.000503
0.2581438,0.0014207
0.258013,0.0012467
0.2605763,0.0003008
0.259719,0.0008436
0.2568037,0.0010309
0.2581063,0.00243
0.262112,0.0012853
0.2571849,0.0009196
0.2592085,0.0004803
0.2572197,8.84E-07
0.2564785,0.0014149
0.2577977,0.0001606
0.2582825,0.0007847
0.24634,0.0006538
0.2574216,0.0020543
0.2605295,0.0014246
0.2564455,0.0025664
0.2616911,0.0004985
0.25589,0.0003969
0.2645873,0.0004731
0.2590269,0.0001394
0.2584473,0.0003753
0.2567761,0.0007832
0.2562711,0.0002619
0.2591543,0.0000695
0.2596328,0.0000799
0.2585535,0.000685
0.2566381,0.0022131
0.2624875,0.0008792
0.2544472,0.0003155
0.2574129,0.000206
0.2587094,0.0001684
0.256696,0.0023701
0.2550652,0.002547
0.2586426,0.0008375
0.2584584,0.0001276
0.2573052,0.0018247
0.2592278,0.003101
0.2531811,0.0012074
0.2589883,0.0008668
0.2563933,0.0008968
0.2632342,7.83E-06
0.2562491,0.0001731
0.2659307,0.0017828
0.2600314,0.0017991
0.2644592,0.0001004
0.2615428,0.0000805
0.2582027,0.0007239
0.2562531,0.0015209
0.2408277,0.0009333
0.2569498,0.0019249
0.257849,0.0002351
0.2633776,0.0006937
0.25846,0.0007054
0.2620736,0.0010767
0.2626652,0.0003481
0.2533299,0.0014797
0.2569264,0.0008513
0.255741,0.001143
0.2600575,0.0006106
0.2581898,0.0007975
0.2593563,0.0019622
0.2600074,0.0007097
0.2553718,0.0011941
0.2570271,0.0016763
0.2651216,0.0005899
0.2605694,0.000104
0.2564335,0.000783
0.2587578,0.0013389
0.2575274,0.0000985
0.2615272,0.002663
0.2593066,0.0018304
0.2601391,0.00069
0.2594945,0.0010777
0.2603404,0.0010588
0.2614776,0.0019781
0.2554182,0.0005768
0.2584034,0.0003295
0.2597345,0.0003303
0.2575493,0.0012643
0.2618721,0.0018543
0.2559572,0.0003364
0.2588655,0.0021916
0.2550678,0.0004242
0.2335472,0.0003906
0.2551975,0.0010085
0.2596201,0.0010215
0.2590602,0.000731
0.2572819,0.0001365
0.2577498,0.0002005
0.2609691,0.0000765
0.2589442,0.0003816
0.2608373,0.0008886
0.2590687,0.0002941
0.2588991,0.0022798
0.2399522,0.0024494
0.2574074,0.0011862
0.2650427,0.0010771
0.2606171,0.0011056
0.2615114,0.0010319
0.2599361,0.0008265
0.2566466,0.0008614
0.2581648,0.001761
0.2564889,0.0024062
0.2563815,0.0008037
0.2607518,0.0010849
0.2587192,0.0018167
0.2577007,0.000242
0.2583363,0.0003733
0.2610866,0.0003785
0.255277,0.0007083
0.2598915,0.0021436
0.255852,0.0011661
0.2602587,0.000106
0.2626719,0.0009391
0.2549428,0.0009545
0.2628094,0.0011547
0.253745,0.0002516
0.2594217,0.0001163
0.2550958,0.000221
0.2621303,0.0008229
0.2614425,0.0001344
0.2560798,0.0015678
0.2588409,0.0011878
0.2545619,0.0004411
0.2582961,0.001143
0.2574441,0.0011291
0.2577784,0.0001909
0.260347,0.0004297
0.2526586,0.0018311
0.2591711,0.0007587
0.2578102,0.000126
0.2589338,0.0004045
0.2551004,0.0020741
0.2590101,0.0002843
0.2580398,0.0007199
0.2570689,0.0002388
0.2577552,0.0004833
0.2568676,0.0004676
0.2589641,0.0014706
0.2545743,0.0004951
0.2569274,0.0005983
0.2614872,0.0006922
0.2558669,0.0000883
0.2659336,0.0006861
0.2604609,0.0028137
0.2594761,0.0000846
0.2598099,0.001316
0.2591868,0.000697
0.2591923,0.0000422
0.2585585,0.0022063
0.2626772,0.0009368
0.2558064,0.0001131
0.2544402,0.0006413
0.259715,0.0012899
0.2574387,0.0013492
0.2586714,0.0025591
0.2640948,0.002314
0.2597682,0.0002605
0.2573452,0.0004996
0.2574367,0.0024096
0.2569108,0.0021554
0.2576899,0.0005954
0.2569281,0.0017017
0.2604091,0.0005241
0.262311,0.0007745
0.2555453,0.0000678
0.2587412,0.0015174
0.2594492,0.0022657
0.255678,0.0006454
0.2596644,0.0004476
0.2589804,0.0005243
0.2578118,0.0019697
0.2601782,0.0003706
0.2589932,0.0008487
0.2561386,0.0015052
